BuildingSyncPath,State,RequiredValues,RequiredPairedElement
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.FloorAreas,Optional,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.FloorAreas.FloorArea,Optional,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.FloorAreas.FloorArea.FloorAreaType,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.FloorAreas.FloorArea.FloorAreaCustomName,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.FloorAreas.FloorArea.FloorAreaValue,Optional,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.FloorAreas.FloorArea.FloorAreaPercentage,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.FloorAreas.FloorArea.Story,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.UserDefinedFields,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.UserDefinedFields.UserDefinedField,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.UserDefinedFields.UserDefinedField.FieldName,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.UserDefinedFields.UserDefinedField.FieldValue,,,
Audits.Audit.Sites.Site.Facilities.Facility.PremisesName,,,
Audits.Audit.Sites.Site.Facilities.Facility.PremisesNotes,,,
Audits.Audit.Sites.Site.Facilities.Facility.PremisesIdentifiers,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.PremisesIdentifiers.PremisesIdentifier,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.PremisesIdentifiers.PremisesIdentifier.IdentifierLabel,Required,,Audits.Audit.Sites.Site.Facilities.Facility.PremisesIdentifiers.PremisesIdentifier.IdentifierValue
Audits.Audit.Sites.Site.Facilities.Facility.PremisesIdentifiers.PremisesIdentifier.IdentifierCustomName,,,
Audits.Audit.Sites.Site.Facilities.Facility.PremisesIdentifiers.PremisesIdentifier.IdentifierValue,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.OccupancyClassification,,,
Audits.Audit.Sites.Site.Facilities.Facility.OccupancyLevels,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.OccupancyLevels.OccupancyLevel,Required,,
