Unnamed: 0,attribute_name,transformed_name,attribute_id,attribute_path,bedes_content_uuid,bedes_term,bedes_category,bedes_definition,bedes_url,distance,match_type,matched_to_term,term_or_lo,matched_term_URL,matched_to_word,matched_word_example_URL,unmatched_words,bedes_term_update,bedes_content_uuid_update
430,BoilerEWT,Boiler Entering Water Temperature,54909,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.BoilerEWT,d093567c-026f-40b3-a9d0-629894226aed,Boiler Return Water Temperature Value,,,https://bedes.lbl.gov/node/d093567c-026f-40b3-a9d0-629894226aed,1,Term-to-Term Match,,,,,,,Boiler Return Water Temperature Value,d093567c-026f-40b3-a9d0-629894226aed
431,HotWaterResetControl,Hot Water Reset Control,54910,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.HotWaterResetControl,eb3406e1-2e5e-494e-b8b9-ef3aec5fa4b0,Hot Water Reset Routine,,,https://bedes.lbl.gov/node/eb3406e1-2e5e-494e-b8b9-ef3aec5fa4b0,1,Term-to-Term Match,,,,,,,Hot Water Reset Routine,eb3406e1-2e5e-494e-b8b9-ef3aec5fa4b0
432,BoilerPercentCondensateReturn,Boiler Percent Condensate Return,54911,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.BoilerPercentCondensateReturn,ec2635c1-8717-4526-a4f9-fd432ad982ed,Boiler Percent Condensate Return,HVAC,The percentage of condensed steam that is returned to the boiler.,https://bedes.lbl.gov/node/ec2635c1-8717-4526-a4f9-fd432ad982ed,1.0,Term-to-Term Match,,,,,,,,
433,Capacity,Capacity,54912,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.Capacity,785ea29e-0f5b-404a-aa9c-6e7dc667bf7a,Capacity,Global Terms,The capacity value of the associated equipment or system,https://bedes.lbl.gov/node/785ea29e-0f5b-404a-aa9c-6e7dc667bf7a,1,Term-to-Term Match,,,,,,,Capacity,785ea29e-0f5b-404a-aa9c-6e7dc667bf7a
434,OutputCapacity,Output Capacity,54913,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.OutputCapacity,f26e2efd-2fbf-47bc-981b-376aa086d098,Output Capacity,HVAC,Output capacity of equipment.,https://bedes.lbl.gov/node/f26e2efd-2fbf-47bc-981b-376aa086d098,1,Term-to-Term Match,,,,,,,Output Capacity,f26e2efd-2fbf-47bc-981b-376aa086d098
435,BurnerType,Burner Type,54914,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.BurnerType,90d53c1c-45d2-47bf-aedc-853a8cc23cf9,Burner Type,HVAC,"Type of burner on boiler or furnace, if applicable.",https://bedes.lbl.gov/node/90d53c1c-45d2-47bf-aedc-853a8cc23cf9,1,Term-to-Term Match,,,,,,,Burner Type,90d53c1c-45d2-47bf-aedc-853a8cc23cf9
436,BurnerControlType,Burner Control Type,54915,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.BurnerControlType,eb0fe42b-1cbc-4d44-a474-4a31f0588aa3,Burner Control Strategy,,,https://bedes.lbl.gov/node/eb0fe42b-1cbc-4d44-a474-4a31f0588aa3,1,Term-to-Term Match,,,,,,,Burner Control Strategy,eb0fe42b-1cbc-4d44-a474-4a31f0588aa3
437,BurnerQuantity,Burner Quantity,54916,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.BurnerQuantity,4286e309-f13d-4711-b6de-492930d99cb7,Burner Quantity,,,https://bedes.lbl.gov/node/4286e309-f13d-4711-b6de-492930d99cb7,1,Term-to-Term Match,,,,,,,Burner Quantity,4286e309-f13d-4711-b6de-492930d99cb7
438,BurnerYearInstalled,Burner Year Installed,54917,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.BurnerYearInstalled,eed46787-7abf-49a0-8e6f-4a26e1aba0d5,Burner Installed Date,,,https://bedes.lbl.gov/node/eed46787-7abf-49a0-8e6f-4a26e1aba0d5,1,Term-to-Term Match,,,,,,,Burner Installed Date,eed46787-7abf-49a0-8e6f-4a26e1aba0d5
439,BurnerTurndownRatio,Burner Turndown Ratio,54918,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.BurnerTurndownRatio,08c0c997-9d50-4441-99d8-934eb03ea43a,Burner Turndown Ratio,HVAC,"If applicable, the turndown ratio for the burner (full input/minimum input).",https://bedes.lbl.gov/node/08c0c997-9d50-4441-99d8-934eb03ea43a,1,Term-to-Term Match,,,,,,,Burner Turndown Ratio,08c0c997-9d50-4441-99d8-934eb03ea43a
440,IgnitionType,Ignition Type,54919,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.IgnitionType,9e174aa2-440e-4b91-93ae-7c36934c08ea,Ignition Type,HVAC,Ignition mechanism in gas heating equipment. Either pilot light or an intermittent ignition device (IID),https://bedes.lbl.gov/node/9e174aa2-440e-4b91-93ae-7c36934c08ea,1,Term-to-Term Match,,,,,,,Ignition Type,9e174aa2-440e-4b91-93ae-7c36934c08ea
441,DraftType,Draft Type,54920,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.DraftType,b2bc8a23-9a79-4a91-9903-4e0a495595b8,Draft Type,HVAC,"Draft mechanism used for drawing air through a boiler, furnace, or water heater.",https://bedes.lbl.gov/node/b2bc8a23-9a79-4a91-9903-4e0a495595b8,1,Term-to-Term Match,,,,,,,Draft Type,b2bc8a23-9a79-4a91-9903-4e0a495595b8
