enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance,associated_attribute_ids
R500,41222,d733ccaf-4ca4-4dfa-ba31-3c47bb954468,R500,,https://bedes.lbl.gov/node/d733ccaf-4ca4-4dfa-ba31-3c47bb954468,8eccedba-beab-4932-99bb-90e3ab213c2f,1,50692
R502,41223,a149d697-0ca6-4b1d-a666-4236a47d2e20,R502,,https://bedes.lbl.gov/node/a149d697-0ca6-4b1d-a666-4236a47d2e20,8eccedba-beab-4932-99bb-90e3ab213c2f,1,50692
R600a,41224,f7e42eb4-9f09-4ebb-ac7a-489f7fddaeff,R600a,,https://bedes.lbl.gov/node/f7e42eb4-9f09-4ebb-ac7a-489f7fddaeff,8eccedba-beab-4932-99bb-90e3ab213c2f,1,50692
R744,41225,13b0cad6-12bf-48a9-90dc-abf6bda3bb97,R744,CO2,https://bedes.lbl.gov/node/13b0cad6-12bf-48a9-90dc-abf6bda3bb97,8eccedba-beab-4932-99bb-90e3ab213c2f,1,50692
R717,41226,08583cff-64b6-49b6-bd48-9625828f4f48,R717,ammonia,https://bedes.lbl.gov/node/08583cff-64b6-49b6-bd48-9625828f4f48,8eccedba-beab-4932-99bb-90e3ab213c2f,1,50692
R718,41227,f94b7129-4706-48e3-b5ca-e561062af8a0,R718,water,https://bedes.lbl.gov/node/f94b7129-4706-48e3-b5ca-e561062af8a0,8eccedba-beab-4932-99bb-90e3ab213c2f,1,50692
Other,41228,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1,50692
Unknown,41229,086ae16f-060f-42e5-aed7-9111b7d859db,Unknown,Unknown,https://bedes.lbl.gov/node/086ae16f-060f-42e5-aed7-9111b7d859db,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1,50692
Refrigerator,41230,f07b21e2-4476-4b36-b8d5-830bd56aaf06,Refrigerator,"A cabinet designed for the refrigerated storage of food, designed to be capable of achieving temperatures above 32 Â¡F (0 Â¡C) and below 39 Â¡F (3.9 Â¡C). A refrigerator may include a compartment for the freezing and storage of food at temperatures below 32 Â¡F (0 Â¡C), but does not provide a separate low temperature compartment designed for the freezing and storage of food at temperatures below 8 Â¡F (-13.3 Â¡C), with the condensing unit and compressor built into the cabinet.",https://bedes.lbl.gov/node/f07b21e2-4476-4b36-b8d5-830bd56aaf06,8c39ee1e-4f69-45c9-a6f6-1e5e2b4eb796,1,50696
Freezer,41231,e47a2956-4deb-4ab8-a4a1-6502bebcbed0,Freezer,"A cabinet designed as a unit for the freezing and storage of food at temperatures of 0 Â¡F (-17.8 Â¡C) or below, with the condensing unit and compressor built into the cabinet.",https://bedes.lbl.gov/node/e47a2956-4deb-4ab8-a4a1-6502bebcbed0,8c39ee1e-4f69-45c9-a6f6-1e5e2b4eb796,1,50696
Combination,41232,938743a0-e58d-4c65-9851-bfc96133e91e,Combination,"Combination case doors have one or more sliding doors on a certain part of a cabinet, often made of glass for display.",https://bedes.lbl.gov/node/938743a0-e58d-4c65-9851-bfc96133e91e,89f1930c-e92c-4400-a296-48416a7705c3,1,50696
