enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance
Coves,10581,071e6808-21c0-424c-8f74-f58008429b34,Coves,Commonly used street suffix or abbreviations: Cvs,https://bedes.lbl.gov/node/071e6808-21c0-424c-8f74-f58008429b34,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Cove,10580,00f07f70-05bc-4499-b4f0-931609eac6b1,Cove,Commonly used street suffix or abbreviations: Cv,https://bedes.lbl.gov/node/00f07f70-05bc-4499-b4f0-931609eac6b1,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Courts,10579,96b16526-ad35-4c6c-9c4f-8410b74a0b90,Courts,Commonly used street suffix or abbreviations: Cts,https://bedes.lbl.gov/node/96b16526-ad35-4c6c-9c4f-8410b74a0b90,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Court,10578,c46e0a47-077a-4c11-8310-ff7abaf268e5,Court,Commonly used street suffix or abbreviations: Ct,https://bedes.lbl.gov/node/c46e0a47-077a-4c11-8310-ff7abaf268e5,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Course,10577,d8322470-868c-4e5f-b615-5eb4aa6d1073,Course,Commonly used street suffix or abbreviations: Crse,https://bedes.lbl.gov/node/d8322470-868c-4e5f-b615-5eb4aa6d1073,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Corners,10576,1482d02b-7dad-4b28-933e-344b3f3f4c52,Corners,Commonly used street suffix or abbreviations: Cors,https://bedes.lbl.gov/node/1482d02b-7dad-4b28-933e-344b3f3f4c52,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Corner,10575,49445426-9852-40cc-af21-372af1fc98b8,Corner,Commonly used street suffix or abbreviations: Cor,https://bedes.lbl.gov/node/49445426-9852-40cc-af21-372af1fc98b8,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Commons,10574,5719b7b4-14f7-4205-9480-db70820d399f,Commons,Commonly used street suffix or abbreviations: Cmn,https://bedes.lbl.gov/node/5719b7b4-14f7-4205-9480-db70820d399f,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Common,10573,5ef25880-ec7b-4e1c-8a64-786f4362f843,Common,Commonly used street suffix or abbreviations: Clb,https://bedes.lbl.gov/node/5ef25880-ec7b-4e1c-8a64-786f4362f843,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Club,10572,768ace2c-7b96-4917-8883-165fab8bc7b3,Club,Commonly used street suffix or abbreviations: Clfs,https://bedes.lbl.gov/node/768ace2c-7b96-4917-8883-165fab8bc7b3,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Cliff,10571,e6f1070e-1ef5-4a44-8203-819a91256e95,Cliff,Commonly used street suffix or abbreviations: Clf,https://bedes.lbl.gov/node/e6f1070e-1ef5-4a44-8203-819a91256e95,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Circles,10570,c325dad7-70cf-46ea-90db-1865af20e9e7,Circles,Commonly used street suffix or abbreviations: Cirs,https://bedes.lbl.gov/node/c325dad7-70cf-46ea-90db-1865af20e9e7,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Circle,10569,a9fd475e-f723-4141-9775-edaa6a838c94,Circle,"Commonly used street suffix or abbreviations: Cir, Circ, Circl, Crcl, Crcle",https://bedes.lbl.gov/node/a9fd475e-f723-4141-9775-edaa6a838c94,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Centers,10568,acf42bec-9e4a-4f77-9a07-2d85850837d6,Centers,Commonly used street suffix or abbreviations: Ctrs,https://bedes.lbl.gov/node/acf42bec-9e4a-4f77-9a07-2d85850837d6,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Center,10567,9f742165-0d04-4c39-b0d3-060c09b917ec,Center,"Commonly used street suffix or abbreviations: Cen, Cent, Centr, Centre, Cnter, Cntr, Ctr",https://bedes.lbl.gov/node/9f742165-0d04-4c39-b0d3-060c09b917ec,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Causeway,10566,463dc0c8-7d3b-494a-a107-cde170674346,Causeway,"Commonly used street suffix or abbreviations: Causwa, Cswy",https://bedes.lbl.gov/node/463dc0c8-7d3b-494a-a107-cde170674346,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Cape,10565,4cb658c8-d4c5-4384-b6ff-03688f74c8d4,Cape,Commonly used street suffix or abbreviations: Cpe,https://bedes.lbl.gov/node/4cb658c8-d4c5-4384-b6ff-03688f74c8d4,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
