BuildingSyncPath,State,RequiredValues,RequiredPairedElement,GroupID,GroupingLevel
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.Sides.Side,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.Sides.Side.SideNumber,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.Sides.Side.SideLength,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.Sides.Side.WallID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.Sides.Side.WallID.WallArea,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.Sides.Side.WindowID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.Sides.Side.WindowID.FenestrationArea,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.Sides.Side.WindowID.WindowToWallRatio,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.Sides.Side.WindowID.PercentOfWindowAreaShaded,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.Sides.Side.DoorID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.Sides.Side.DoorID.FenestrationArea,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.Sides.Side.ThermalZoneIDs,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.Sides.Side.ThermalZoneIDs.ThermalZoneID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.RoofID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.RoofID.RoofArea,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.RoofID.RoofInsulatedArea,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.RoofID.SkylightIDs,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.RoofID.SkylightIDs.SkylightID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.RoofID.SkylightIDs.SkylightID.PercentSkylightArea,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.CeilingID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.CeilingID.CeilingArea,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.CeilingID.CeilingInsulatedArea,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.CeilingID.ThermalZoneIDs,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.CeilingID.ThermalZoneIDs.ThermalZoneID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.CeilingID.SpaceIDs,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.CeilingID.SpaceIDs.SpaceID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FoundationID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FoundationID.FoundationArea,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FoundationID.ThermalZoneIDs,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FoundationID.ThermalZoneIDs.ThermalZoneID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FoundationID.SpaceIDs,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FoundationID.SpaceIDs.SpaceID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.XOffset,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.YOffset,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ZOffset,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FloorsAboveGrade,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FloorsBelowGrade,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FloorsPartiallyBelowGrade,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FloorToFloorHeight,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FloorToCeilingHeight,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.DeliveryIDs,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.DeliveryIDs.DeliveryID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.HVACScheduleIDs,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.HVACScheduleIDs.HVACScheduleID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.SetpointTemperatureHeating,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.SetbackTemperatureHeating,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.HeatLowered,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.SetpointTemperatureCooling,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.SetupTemperatureCooling,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.ACAdjusted,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.OccupancyScheduleIDs,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.OccupancyScheduleIDs.OccupancyScheduleID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.OccupantsActivityLevel,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.DaylitFloorArea,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.DaylightingIlluminanceSetpoint,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PercentageOfCommonSpace,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.ConditionedVolume,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PremisesName,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PremisesNotes,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PremisesIdentifiers,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PremisesIdentifiers.PremisesIdentifier,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PremisesIdentifiers.PremisesIdentifier.IdentifierLabel,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PremisesIdentifiers.PremisesIdentifier.IdentifierCustomName,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PremisesIdentifiers.PremisesIdentifier.IdentifierValue,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.OccupancyClassification,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.OccupancyLevels,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.OccupancyLevels.OccupancyLevel,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.OccupancyLevels.OccupancyLevel.OccupantType,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.OccupancyLevels.OccupancyLevel.OccupantQuantityType,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.OccupancyLevels.OccupancyLevel.OccupantQuantity,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.TypicalOccupantUsages,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.TypicalOccupantUsages.TypicalOccupantUsage,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.TypicalOccupantUsages.TypicalOccupantUsage.TypicalOccupantUsageValue,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.TypicalOccupantUsages.TypicalOccupantUsage.TypicalOccupantUsageUnits,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PrimaryContactID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.TenantIDs,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.TenantIDs.TenantID,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.FloorAreas,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.FloorAreas.FloorArea,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.FloorAreas.FloorArea.FloorAreaType,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.FloorAreas.FloorArea.FloorAreaCustomName,,,,,
